2025-07-03 16:43:28,735 ERROR: Failed to process data/CSI-CARDIOLOGY-UPDATE-2018-Binder.pdf: pdfminer package not found, please install it with `pip install pdfminer.six`
2025-07-03 16:43:28,735 ERROR: Failed to process data/cardiology-explained.pdf: pdfminer package not found, please install it with `pip install pdfminer.six`
2025-07-03 16:43:28,735 ERROR: Failed to process data/14922.pdf: pdfminer package not found, please install it with `pip install pdfminer.six`
kage not found, please install it with `pip install pdfminer.six`
2025-07-03 20:21:21,835 WARNING: Cannot set gray non-stroke color because /'P1' is an invalid float value
2025-07-03 20:21:21,852 WARNING: Cannot set gray non-stroke color because /'P1' is an invalid float value
2025-07-03 20:21:21,883 WARNING: Cannot set gray non-stroke color because /'P1' is an invalid float value
2025-07-03 20:21:21,900 WARNING: Cannot set gray non-stroke color because /'P1' is an invalid float value
2025-07-03 20:21:21,906 WARNING: Cannot set gray non-stroke color because /'P1' is an invalid float value
2025-07-03 20:21:21,946 WARNING: Cannot set gray non-stroke color because /'P1' is an invalid float value
2025-07-03 20:21:21,995 WARNING: Cannot set gray non-stroke color because /'P1' is an invalid float value
2025-07-03 20:21:22,501 WARNING: Cannot set gray non-stroke color because /'P1' is an invalid float value
2025-07-03 20:21:22,564 WARNING: Cannot set gray non-stroke color because /'P1' is an invalid float value
2025-07-03 20:21:22,574 WARNING: Cannot set gray non-stroke color because /'P1' is an invalid float value
2025-07-03 20:21:22,638 WARNING: Cannot set gray non-stroke color because /'P1' is an invalid float value
2025-07-03 20:21:22,717 WARNING: Cannot set gray non-stroke color because /'P1' is an invalid float value
2025-07-03 20:21:23,101 WARNING: Cannot set gray non-stroke color because /'P1' is an invalid float value
2025-07-03 20:21:23,313 WARNING: Cannot set gray non-stroke color because /'P1' is an invalid float value
2025-07-03 20:21:23,313 WARNING: Cannot set gray non-stroke color because /'P1' is an invalid float value
2025-07-03 20:21:23,337 WARNING: Cannot set gray non-stroke color because /'P1' is an invalid float value
2025-07-03 20:21:23,383 WARNING: Cannot set gray non-stroke color because /'P1' is an invalid float value
2025-07-03 20:21:23,441 WARNING: Cannot set gray non-stroke color because /'P1' is an invalid float value
2025-07-03 20:21:23,701 WARNING: Cannot set gray non-stroke color because /'P1' is an invalid float value
2025-07-03 20:21:23,968 WARNING: Cannot set gray non-stroke color because /'P1' is an invalid float value
2025-07-03 20:21:23,991 WARNING: Cannot set gray non-stroke color because /'P1' is an invalid float value
2025-07-03 20:21:24,002 WARNING: Cannot set gray non-stroke color because /'P1' is an invalid float value
2025-07-03 20:21:24,028 WARNING: Cannot set gray non-stroke color because /'P1' is an invalid float value
2025-07-03 20:21:24,054 WARNING: Cannot set gray non-stroke color because /'P1' is an invalid float value
2025-07-03 20:21:24,118 WARNING: Cannot set gray non-stroke color because /'P1' is an invalid float value
2025-07-03 20:21:24,124 WARNING: Cannot set gray non-stroke color because /'P1' is an invalid float value
2025-07-03 20:21:24,149 WARNING: Cannot set gray non-stroke color because /'P1' is an invalid float value
2025-07-03 20:21:24,166 WARNING: Cannot set gray non-stroke color because /'P1' is an invalid float value
2025-07-03 20:21:24,212 WARNING: Cannot set gray non-stroke color because /'P1' is an invalid float value
2025-07-03 20:21:24,248 WARNING: Cannot set gray non-stroke color because /'P1' is an invalid float value
2025-07-03 20:21:24,517 WARNING: Cannot set gray non-stroke color because /'P1' is an invalid float value
2025-07-03 20:21:24,521 WARNING: Cannot set gray non-stroke color because /'P1' is an invalid float value
2025-07-03 20:21:24,535 WARNING: Cannot set gray non-stroke color because /'P1' is an invalid float value
2025-07-03 20:21:24,549 WARNING: Cannot set gray non-stroke color because /'P1' is an invalid float value
